DateKey,Date,Year,Month,MonthName,Quarter,Week,Day,DayOfWeek
20230101,2023-01-01,2023,1,January,Q1,52,1,Sunday
20230102,2023-01-02,2023,1,January,Q1,1,2,Monday
20230103,2023-01-03,2023,1,January,Q1,1,3,Tuesday
20230104,2023-01-04,2023,1,January,Q1,1,4,Wednesday
20230105,2023-01-05,2023,1,January,Q1,1,5,Thursday
20230106,2023-01-06,2023,1,January,Q1,1,6,Friday
20230107,2023-01-07,2023,1,January,Q1,1,7,Saturday
20230108,2023-01-08,2023,1,January,Q1,1,8,Sunday
20230109,2023-01-09,2023,1,January,Q1,2,9,Monday
20230110,2023-01-10,2023,1,January,Q1,2,10,Tuesday
20230111,2023-01-11,2023,1,January,Q1,2,11,Wednesday
20230112,2023-01-12,2023,1,January,Q1,2,12,Thursday
20230113,2023-01-13,2023,1,January,Q1,2,13,Friday
20230114,2023-01-14,2023,1,January,Q1,2,14,Saturday
20230115,2023-01-15,2023,1,January,Q1,2,15,Sunday
20230116,2023-01-16,2023,1,January,Q1,3,16,Monday
20230117,2023-01-17,2023,1,January,Q1,3,17,Tuesday
20230118,2023-01-18,2023,1,January,Q1,3,18,Wednesday
20230119,2023-01-19,2023,1,January,Q1,3,19,Thursday
20230120,2023-01-20,2023,1,January,Q1,3,20,Friday
20230121,2023-01-21,2023,1,January,Q1,3,21,Saturday
20230122,2023-01-22,2023,1,January,Q1,3,22,Sunday
20230123,2023-01-23,2023,1,January,Q1,4,23,Monday
20230124,2023-01-24,2023,1,January,Q1,4,24,Tuesday
20230125,2023-01-25,2023,1,January,Q1,4,25,Wednesday
20230126,2023-01-26,2023,1,January,Q1,4,26,Thursday
20230127,2023-01-27,2023,1,January,Q1,4,27,Friday
20230128,2023-01-28,2023,1,January,Q1,4,28,Saturday
20230129,2023-01-29,2023,1,January,Q1,4,29,Sunday
20230130,2023-01-30,2023,1,January,Q1,5,30,Monday
20230131,2023-01-31,2023,1,January,Q1,5,31,Tuesday
20230201,2023-02-01,2023,2,February,Q1,5,1,Wednesday
20230202,2023-02-02,2023,2,February,Q1,5,2,Thursday
20230203,2023-02-03,2023,2,February,Q1,5,3,Friday
20230204,2023-02-04,2023,2,February,Q1,5,4,Saturday
20230205,2023-02-05,2023,2,February,Q1,5,5,Sunday
20230206,2023-02-06,2023,2,February,Q1,6,6,Monday
20230207,2023-02-07,2023,2,February,Q1,6,7,Tuesday
20230208,2023-02-08,2023,2,February,Q1,6,8,Wednesday
20230209,2023-02-09,2023,2,February,Q1,6,9,Thursday
