DateKey,ProductKey,StoreKey,Quantity,Revenue,Cost,Profit
13042023,25,10,1,54.13,25.25,28.88
11032024,9,4,2,54.2,37.36,16.84
28092023,22,15,1,60.85,31.49,29.36
17042023,13,11,1,117.04,63.74,53.3
13032023,37,2,2,169.98,99.3,70.68
01122024,28,16,1,110.6,62.46,48.14
21012023,14,14,2,141.44,92.98,48.46
06092024,30,9,2,77.8,46.38,31.42
02052023,39,9,4,231.28,130.32,100.96
11042024,5,1,1,71.74,45.12,26.62
03082023,12,3,1,98.78,62.47,36.31
27112023,35,10,1,75.55,42.84,32.71
03042024,41,8,4,263.36,125.52,137.84
29032023,42,2,1,78.78,52.03,26.75
08012024,1,2,3,274.71,140.43,134.28
10042023,1,2,1,91.57,46.81,44.76
25102024,42,13,3,236.34,156.09,80.25
11052023,20,5,2,78.74,53.88,24.86
23102024,34,14,1,84.85,50.83,34.02
05112023,34,9,1,84.85,50.83,34.02
10122023,24,7,2,190.72,96.74,93.98
06052024,28,13,2,221.2,124.92,96.28
18022024,11,7,2,206.44,124.06,82.38
21012024,8,15,1,98.64,61.6,37.04
11072023,35,2,3,226.65,128.52,98.13
04102023,41,2,3,197.52,94.14,103.38
10062023,16,5,1,15.04,7.62,7.42
04042024,16,12,2,30.08,15.24,14.84
10112023,42,14,3,236.34,156.09,80.25
22012023,6,7,1,87.15,48.36,38.79
10092023,20,7,4,157.48,107.76,49.72
14072024,11,9,1,103.22,62.03,41.19
19042024,8,3,1,98.64,61.6,37.04
28022023,20,14,1,39.37,26.94,12.43
25052024,32,1,2,50.44,28.92,21.52
12112024,33,9,1,26.81,13.14,13.67
20042024,6,16,1,87.15,48.36,38.79
30112024,28,1,1,110.6,62.46,48.14
09072023,8,8,2,197.28,123.2,74.08
17112024,14,14,3,212.16,139.47,72.69
16072024,3,15,3,224.85,102.96,121.89
20072024,2,14,1,25.35,12.06,13.29
01092023,22,5,5,304.25,157.45,146.8
19052024,33,8,5,134.05,65.7,68.35
11052023,21,7,1,68.76,35.15,33.61
29042024,6,9,4,348.6,193.44,155.16
08102024,40,2,2,229.84,153.76,76.08
21012023,7,9,2,198.08,89.46,108.62
16062023,6,16,2,174.3,96.72,77.58
01102023,8,10,3,295.92,184.8,111.12
23012024,24,5,1,95.36,48.37,46.99
23082024,27,16,2,164.2,90.14,74.06
12112023,28,5,3,331.8,187.38,144.42
14012023,5,16,1,71.74,45.12,26.62
30082023,19,1,1,50.72,25.48,25.24
12122023,9,6,5,135.5,93.4,42.1
18072024,25,10,4,216.52,101.0,115.52
06122023,13,10,2,234.08,127.48,106.6
02042023,37,10,3,254.97,148.95,106.02
02012024,2,10,1,25.35,12.06,13.29
30032024,40,3,2,229.84,153.76,76.08
03032024,14,13,1,70.72,46.49,24.23
23052024,31,10,3,149.46,104.52,44.94
04022023,6,3,1,87.15,48.36,38.79
25072023,25,3,1,54.13,25.25,28.88
22032023,39,13,1,57.82,32.58,25.24
15072024,31,4,1,49.82,34.84,14.98
23012024,38,9,3,118.05,72.03,46.02
02012023,16,13,1,15.04,7.62,7.42
25012024,27,8,1,82.1,45.07,37.03
19072024,30,12,3,116.7,69.57,47.13
16042023,4,6,5,101.55,51.6,49.95
21042024,39,8,3,173.46,97.74,75.72
03122024,16,8,1,15.04,7.62,7.42
06022024,36,1,1,37.66,22.16,15.5
30122024,7,9,3,297.12,134.19,162.93
09072024,21,1,2,137.52,70.3,67.22
11062023,2,16,2,50.7,24.12,26.58
21072023,8,11,3,295.92,184.8,111.12
27092023,42,2,1,78.78,52.03,26.75
28092023,27,9,1,82.1,45.07,37.03
31032024,2,7,2,50.7,24.12,26.58
06042024,6,10,2,174.3,96.72,77.58
27122024,4,1,5,101.55,51.6,49.95
09092023,21,3,1,68.76,35.15,33.61
02122024,1,14,5,457.85,234.05,223.8
23102023,38,1,3,118.05,72.03,46.02
25122024,12,5,2,197.56,124.94,72.62
20122024,27,15,5,410.5,225.35,185.15
04122023,14,4,5,353.6,232.45,121.15
22022023,15,8,1,73.51,46.03,27.48
05082023,24,9,1,95.36,48.37,46.99
07072023,18,15,4,207.24,116.76,90.48
15012024,17,12,1,104.08,69.38,34.7
07052024,9,4,1,27.1,18.68,8.42
10022023,18,16,2,103.62,58.38,45.24
06062023,18,15,1,51.81,29.19,22.62
15012023,5,3,3,215.22,135.36,79.86
06032023,9,14,2,54.2,37.36,16.84
04062024,35,4,1,75.55,42.84,32.71
10122023,1,3,3,274.71,140.43,134.28
09052023,41,6,3,197.52,94.14,103.38
09102024,9,1,2,54.2,37.36,16.84
16042024,32,2,1,25.22,14.46,10.76
04032023,20,8,3,118.11,80.82,37.29
19052023,13,3,1,117.04,63.74,53.3
13052024,40,4,1,114.92,76.88,38.04
15082024,11,12,1,103.22,62.03,41.19
27012024,42,1,2,157.56,104.06,53.5
05112024,26,15,1,110.44,65.36,45.08
23022024,40,3,1,114.92,76.88,38.04
16102023,11,1,1,103.22,62.03,41.19
14012024,25,11,1,54.13,25.25,28.88
04052024,40,10,2,229.84,153.76,76.08
19082023,25,16,4,216.52,101.0,115.52
10022023,20,5,3,118.11,80.82,37.29
28012023,42,1,2,157.56,104.06,53.5
15052023,11,12,4,412.88,248.12,164.76
20072023,10,9,1,47.03,22.25,24.78
02022023,3,7,1,74.95,34.32,40.63
17022023,39,11,1,57.82,32.58,25.24
17052024,27,8,1,82.1,45.07,37.03
11022024,35,9,3,226.65,128.52,98.13
27072024,40,10,2,229.84,153.76,76.08
28122024,31,8,1,49.82,34.84,14.98
09042023,21,3,3,206.28,105.45,100.83
14112024,22,7,1,60.85,31.49,29.36
26122024,19,7,3,152.16,76.44,75.72
30062024,14,14,2,141.44,92.98,48.46
04092024,37,7,1,84.99,49.65,35.34
06042024,23,12,2,170.62,112.74,57.88
04102024,26,8,5,552.2,326.8,225.4
05012023,40,4,1,114.92,76.88,38.04
06082023,12,11,3,296.34,187.41,108.93
17052024,1,6,1,91.57,46.81,44.76
02022024,34,2,1,84.85,50.83,34.02
28012024,19,7,1,50.72,25.48,25.24
